booking_state,sync_status,projection_lifecycle,participation_lifecycle,classification,owner,rationale,policy_ref
PENDING,FAILED,ACTIVE,DECLINED,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
PENDING,FAILED,TOMBSTONED_SOFT,NEEDS_ACTION,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
PENDING,FAILED,TOMBSTONED_SOFT,ACCEPTED,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
PENDING,FAILED,TOMBSTONED_SOFT,TENTATIVE,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
PENDING,FAILED,TOMBSTONED_SOFT,DECLINED,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
PENDING,FAILED,TOMBSTONED_HARD,NEEDS_ACTION,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
PENDING,FAILED,TOMBSTONED_HARD,ACCEPTED,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
PENDING,FAILED,TOMBSTONED_HARD,TENTATIVE,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
PENDING,FAILED,TOMBSTONED_HARD,DECLINED,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,PENDING,ACTIVE,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PENDING,ACTIVE,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PENDING,ACTIVE,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PENDING,ACTIVE,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PENDING,TOMBSTONED_SOFT,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CONFIRMED,PENDING,TOMBSTONED_SOFT,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
